[2023-10-15 19:27:41] No settings files found: C:/Games/Mindustry/saves/settings.bin and C:/Games/Mindustry/saves/settings_backup.bin
[2023-10-15 19:28:03] Saving 17 values; 303 bytes
[2023-10-15 19:28:18] Saving 17 values; 303 bytes
[2024-06-04 18:01:56] Loaded 17 values
[2024-06-04 18:01:56] Backed up saves/settings.bin to saves/settings_backup.bin (303 bytes)
[2024-06-04 18:02:02] Saving 17 values; 303 bytes
[2024-06-04 18:02:31] Saving 17 values; 303 bytes
[2024-06-04 18:02:31] Saving 17 values; 303 bytes
[2024-06-04 18:02:36] Saving 18 values; 323 bytes
[2024-06-04 18:02:36] Saving 19 values; 351 bytes
[2024-06-04 18:02:59] Saving 20 values; 363 bytes
[2024-06-04 18:03:01] Saving 20 values; 363 bytes
[2024-06-04 18:03:02] Saving 20 values; 363 bytes
[2024-06-04 18:03:03] Saving 20 values; 363 bytes
[2024-06-04 18:03:03] Saving 20 values; 363 bytes
[2024-06-04 18:03:08] Saving 21 values; 370 bytes
[2024-06-04 18:03:14] Saving 21 values; 370 bytes
[2024-06-04 18:03:15] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:20] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:21] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:22] Saving 21 values; 370 bytes
[2024-06-04 18:03:23] Saving 21 values; 370 bytes
[2024-06-04 18:03:23] Saving 21 values; 370 bytes
[2024-06-04 18:03:23] Saving 21 values; 370 bytes
[2024-06-04 18:03:23] Saving 21 values; 370 bytes
[2024-06-04 18:03:24] Saving 21 values; 370 bytes
[2024-06-04 18:03:24] Saving 21 values; 370 bytes
[2024-06-04 18:03:48] Saving 21 values; 370 bytes
[2024-06-04 18:04:21] Saving 22 values; 388 bytes
[2024-06-04 18:04:26] Saving 22 values; 388 bytes
[2024-06-04 18:04:26] Saving 23 values; 414 bytes
[2024-06-04 18:04:26] Saving 24 values; 478 bytes
[2024-06-04 18:04:27] Saving 24 values; 478 bytes
[2024-06-04 18:05:37] Saving 811 values; 26242 bytes
[2024-06-04 18:05:41] Saving 811 values; 26242 bytes
[2024-06-04 18:05:43] Saving 812 values; 26271 bytes
[2024-06-04 18:05:48] Saving 813 values; 26292 bytes
[2024-06-04 18:05:50] Saving 814 values; 26313 bytes
[2024-06-04 18:05:51] Saving 814 values; 26313 bytes
[2024-06-04 18:09:04] Saving 818 values; 26443 bytes
[2024-06-04 18:09:08] Saving 819 values; 26459 bytes
[2024-06-04 18:09:11] Saving 819 values; 26459 bytes
[2024-06-04 18:09:13] Saving 820 values; 26483 bytes
[2024-06-04 18:09:29] Saving 820 values; 26516 bytes
[2024-06-04 18:12:15] Saving 820 values; 26536 bytes
[2024-06-04 18:12:18] Saving 820 values; 26536 bytes
[2024-06-04 18:12:20] Saving 821 values; 26556 bytes
[2024-06-04 18:18:13] Saving 821 values; 26567 bytes
[2024-06-04 18:18:15] Saving 822 values; 26597 bytes
[2024-06-04 18:18:17] Saving 823 values; 26616 bytes
[2024-06-04 18:18:18] Saving 824 values; 26635 bytes
[2024-06-04 18:18:19] Saving 825 values; 26659 bytes
[2024-06-04 18:18:19] Saving 825 values; 26659 bytes
[2024-06-04 18:18:20] Saving 825 values; 26659 bytes
[2024-06-04 18:18:21] Saving 825 values; 26659 bytes
[2024-06-04 18:18:29] Saving 825 values; 26659 bytes
[2024-06-04 18:27:33] Saving 828 values; 26809 bytes
[2024-06-04 18:27:34] Saving 829 values; 26835 bytes
[2024-06-04 18:27:34] Saving 830 values; 26863 bytes
[2024-06-04 18:27:35] Saving 831 values; 26890 bytes
[2024-06-04 18:27:36] Saving 832 values; 26918 bytes
[2024-06-04 18:37:17] Saving 833 values; 26974 bytes
[2024-06-04 18:47:06] Saving 834 values; 27066 bytes
[2024-06-04 18:47:13] Saving 835 values; 27092 bytes
[2024-06-04 18:47:43] Saving 839 values; 27192 bytes
[2024-06-04 18:50:21] Saving 841 values; 27257 bytes
[2024-06-04 18:50:28] Saving 841 values; 27257 bytes
[2024-06-04 18:50:34] Saving 842 values; 27322 bytes
[2024-06-04 18:50:42] Saving 843 values; 27349 bytes
[2024-06-04 18:50:45] Saving 844 values; 27430 bytes
[2024-06-04 18:52:08] Saving 846 values; 28383 bytes
[2024-06-04 18:54:44] Saving 846 values; 28381 bytes
[2024-06-04 19:14:22] Saving 847 values; 28524 bytes
[2024-06-04 19:32:05] Saving 848 values; 28588 bytes
[2024-06-04 19:32:12] Saving 849 values; 28615 bytes
[2024-06-04 19:32:14] Saving 850 values; 28643 bytes
[2024-06-04 19:32:16] Saving 851 values; 28670 bytes
[2024-06-04 19:32:18] Saving 852 values; 28703 bytes
[2024-06-04 19:32:19] Saving 853 values; 28726 bytes
[2024-06-04 19:32:21] Saving 854 values; 28745 bytes
[2024-06-04 19:32:21] Saving 855 values; 28765 bytes
[2024-06-04 19:32:32] Saving 855 values; 28804 bytes
[2024-06-04 19:33:32] Saving 855 values; 28804 bytes
[2024-06-04 19:34:15] Saving 855 values; 28826 bytes
[2024-06-04 19:34:32] Saving 855 values; 28826 bytes
[2024-06-04 19:37:34] Saving 856 values; 28897 bytes
[2024-06-04 20:08:16] Saving 860 values; 29137 bytes
[2024-06-04 20:08:17] Saving 861 values; 29156 bytes
[2024-06-04 20:08:19] Saving 862 values; 29172 bytes
[2024-06-04 20:08:21] Saving 862 values; 29172 bytes
[2024-06-04 20:08:23] Saving 862 values; 29172 bytes
[2024-06-04 20:40:43] Saving 863 values; 29225 bytes
[2024-06-04 20:40:45] Saving 864 values; 29249 bytes
[2024-06-04 20:40:47] Saving 865 values; 29273 bytes
[2024-06-04 20:40:47] Saving 865 values; 29273 bytes
[2024-06-04 20:49:41] Saving 865 values; 29273 bytes
[2024-06-04 20:50:32] Saving 865 values; 29273 bytes
[2024-06-04 20:51:32] Saving 865 values; 29273 bytes
[2024-06-04 20:52:11] Saving 865 values; 29273 bytes
[2024-06-04 21:15:50] Saving 865 values; 29273 bytes
[2024-06-04 21:15:55] Saving 866 values; 29301 bytes
[2024-06-04 21:15:57] Saving 867 values; 29320 bytes
[2024-06-04 21:15:57] Saving 868 values; 29340 bytes
[2024-06-04 21:15:58] Saving 869 values; 29364 bytes
[2024-06-04 21:16:02] Saving 869 values; 29364 bytes
[2024-06-04 21:41:47] Saving 869 values; 29381 bytes
[2024-06-04 21:41:51] Saving 870 values; 29408 bytes
[2024-06-04 21:41:53] Saving 871 values; 29432 bytes
[2024-06-04 21:41:55] Saving 872 values; 29450 bytes
[2024-06-04 21:41:57] Saving 872 values; 29450 bytes
[2024-06-04 21:42:19] Saving 872 values; 29450 bytes
[2024-06-04 21:42:22] Saving 873 values; 29469 bytes
[2024-06-04 21:42:32] Saving 873 values; 29480 bytes
[2024-06-04 21:42:43] Saving 873 values; 29456 bytes
[2024-06-04 21:44:59] Saving 873 values; 29469 bytes
[2024-06-04 21:45:04] Saving 873 values; 29445 bytes
[2024-06-04 21:46:37] Saving 873 values; 29480 bytes
[2024-06-04 21:46:40] Saving 873 values; 29469 bytes
[2024-06-04 21:46:40] Saving 873 values; 29469 bytes
[2024-06-04 21:46:41] Saving 873 values; 29469 bytes
[2024-06-04 21:50:22] Saving 873 values; 29480 bytes
[2024-06-04 21:50:24] Saving 873 values; 29469 bytes
[2024-06-04 21:52:31] Saving 873 values; 29480 bytes
[2024-06-04 21:52:32] Saving 873 values; 29480 bytes
[2024-06-04 21:52:33] Saving 873 values; 29480 bytes
[2024-06-04 21:52:35] Saving 873 values; 29469 bytes
[2024-06-04 21:53:42] Saving 873 values; 29458 bytes
[2024-06-04 21:53:49] Saving 873 values; 29458 bytes
[2024-06-04 21:53:58] Saving 873 values; 29458 bytes
[2024-06-04 21:54:18] Saving 873 values; 29513 bytes
[2024-06-04 21:54:32] Saving 873 values; 29513 bytes
[2024-06-04 21:57:52] Saving 873 values; 29513 bytes
[2024-06-04 21:57:54] Saving 873 values; 29513 bytes
[2024-06-04 22:08:09] Saving 873 values; 29524 bytes
[2024-06-04 22:08:10] Saving 874 values; 29541 bytes
[2024-06-04 22:08:20] Saving 874 values; 29541 bytes
[2024-06-04 22:08:25] Saving 874 values; 29541 bytes
[2024-06-04 22:08:25] Saving 874 values; 29541 bytes
[2024-06-04 22:11:50] Saving 874 values; 29541 bytes
[2024-06-04 22:12:12] Saving 875 values; 29561 bytes
[2024-06-04 22:12:13] Saving 875 values; 29561 bytes
[2024-06-04 22:18:37] Saving 875 values; 29561 bytes
[2024-06-04 22:18:38] Saving 876 values; 29589 bytes
[2024-06-04 22:20:46] Saving 876 values; 29589 bytes
[2024-06-04 22:20:55] Saving 876 values; 29600 bytes
[2024-06-04 22:20:58] Saving 877 values; 29616 bytes
[2024-06-04 22:21:03] Saving 877 values; 29604 bytes
[2024-06-04 22:21:04] Saving 878 values; 29708 bytes
[2024-06-04 22:28:17] Saving 882 values; 30749 bytes
[2024-06-04 22:28:30] Saving 882 values; 30749 bytes
[2024-06-04 22:28:30] Saving 882 values; 30749 bytes
[2024-06-04 22:28:30] Saving 882 values; 30749 bytes
[2024-06-04 22:28:33] Saving 882 values; 30749 bytes
[2024-06-04 22:28:35] Saving 882 values; 30749 bytes
[2024-06-04 22:28:40] Saving 882 values; 30749 bytes
[2024-06-04 22:30:23] Saving 882 values; 30749 bytes
[2024-06-04 22:52:29] Saving 883 values; 30835 bytes
[2024-06-04 22:52:30] Saving 883 values; 30835 bytes
[2024-06-04 22:54:40] Saving 883 values; 30835 bytes
[2024-06-04 22:54:44] Saving 883 values; 30835 bytes
[2024-06-04 22:54:53] Saving 883 values; 30835 bytes
[2024-06-04 22:54:55] Saving 883 values; 30769 bytes
[2024-06-04 22:54:56] Saving 883 values; 30769 bytes
[2024-06-04 22:54:57] Saving 883 values; 30769 bytes
[2024-06-04 22:54:58] Saving 883 values; 30769 bytes
[2024-06-04 22:54:58] Saving 883 values; 30769 bytes
[2024-06-04 22:54:58] Saving 883 values; 30769 bytes
[2024-06-04 22:54:59] Saving 883 values; 30769 bytes
